城市名,经度,纬度
哈尔滨,126.535050,45.802981
长春,125.323643,43.816996
沈阳,123.464675,41.677576
天津,117.201509,39.085318
北京,116.407387,39.904179
呼和浩特,111.748814,40.842127
银川,106.230977,38.487783
兰州,103.834228,36.060798
成都,104.066301,30.572961
昆明,102.833669,24.881490
南宁,108.366407,22.817700
广州,113.264499,23.130061
海口,110.198418,20.045805
澳门,113.549090,22.198951
香港,114.173355,22.320048
福州,119.296411,26.074286
台湾,121.509062,25.044332
杭州,120.210792,30.246026
上海,121.473667,31.230525
南京,118.796624,32.059344
济南,117.120128,36.652069
石家庄,114.514976,38.042007
太原,112.549656,37.870451
西安,108.939645,34.343207
重庆,106.550483,29.563707
贵阳,106.628201,26.646694
长沙,112.938882,28.228304
南昌,115.857972,28.682976
合肥,117.227267,31.820567
郑州,113.625351,34.746303
武汉,114.304569,30.593354
